study_name,eligibility,recruiting,inpatient,outpatient,payment,city,country,healthy,sex_male,sex_female,age_min,age_max,BMI_min,BMI_max,weight_min,weight_max
CM1520 Part B," Males and females aged 18 to 55 years
BMI must be between 18 to 30kg/m²
Body weight must be above 50kg
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 3 months prior
No significant allergies
Non-Smokers ",True,9,1,3860,Adelaide,Australia,True,True,True,18,55 ,18,30, 50,
CM4621 FE," Males and females aged 18 to 65 years
Females must be of non-childbearing potential (surgically sterile or post-menopausal)
BMI must be between 18 to 32kg/m²
Must be in good general health
Must not be taking any medications
No significant allergies
Non-Smokers
No dietary requirements ",True,9,1,2990,Adelaide,Australia,True,True,True,18,65 ,18,32,,
CM4721," Males and females aged 18 to 45 years
BMI must be between 19 to 30kg/m²
Must be in good general health
Must not be taking any medications
No blood donation 2 months prior
No significant allergies
Non-Smokers
No dietary requirements ",True,21,1,5390,Adelaide,Australia,True,True,True,18,45 ,19,30,,
CM1520 FE," Males and females aged 18 to 55 years
BMI must be between 18 to 30kg/m²
Body weight must be above 50kg
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 1 month prior
No significant allergies
Non-Smokers
No dietary requirements ",True,8,1,3200,Adelaide,Australia,True,True,True,18,55 ,18,30, 50,
CM4020 Part B," Males and females aged 18 to 55 years
BMI must be between 18 to 30kg/m²
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 3 months prior
No significant allergies
Non-Smokers ",True,17,1,6530,Adelaide,Australia,True,True,True,18,55 ,18,30,,
CM2820," Males and females aged 18 to 65 years
Females must be of non-childbearing potential 
BMI must be between 18 to 32kg/m²
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 2 months prior
No significant allergies
Non-Smokers ",True,3,1,1180,Adelaide,Australia,True,True,True,18,65 ,18,32,,
CM5619," Males and females aged 18 to 49 years
BMI must be between 18 to 30kg/m²
Body weight must be above 55kg
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 3 months prior
No significant allergies
Non-Smokers
No dietary requirements ",True,3,8,3440,Adelaide,Australia,True,True,True,18,49 ,18,30, 55,
CM5021," Males and females aged 18 to 60 years
BMI must be between 18 to 30kg/m²
Must be in good general health
Must not be taking any medications
No blood donation 3 months prior
No significant allergies
Non-Smokers ",True,20,1,6360,Adelaide,Australia,True,True,True,18,60 ,18,30,,
CM5121," Males and females aged 18 to 55 years
BMI must be between 18 to 32kg/m²
Body weight must be above 50kg
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 2 months prior
No significant allergies
Non-Smokers ",True,3,0,1090,Adelaide,Australia,True,True,True,18,55 ,18,32, 50,
CM8820 Part B," Males and females aged 18 to 55 years
BMI must be between 18 to 30kg/m²
Body weight must be above 50kg
Must be in good general health
Must not be taking any medications
No blood donation 2 months prior
No significant allergies
Non-smokers
No dietary requirements ",True,19,1,6330,Adelaide,Australia,True,True,True,18,55 ,18,30, 50,
CM3820," Males and females aged 18 to 65 years
BMI must be between 18 to 30kg/m²
Body weight must be between 40 to 100kg
Must be in good general health
Must not be taking any medications (other than contraception)
No blood donation 1 month prior
No significant allergies
Non-Smokers ",True,30,1,8340,Adelaide,Australia,True,True,True,18,65 ,18,30,40,100
