,study_name,eligibility,recruiting,inpatient,outpatient,payment,city,country,healthy,sex_male,sex_female,age_min,age_max,BMI_min,BMI_max,weight_min,weight_max
0,Mushu,healthy male and females aged 18-55 years bmi 18-30 kg/m2 weight 60-90kg not taking any restricted medications,True,multiple short in-patient stays,5,8500-1000,Auckland,New Zealand,True,True,True,18,55,18,30,60,90
1,Hebe,males and females aged 18-55 years weight 60-90 kg and bmi 18.5-30 kg/m2 healthy non-smoker / vaper or smoke no more than 10 cigarettes (or equivalent) per week no meds except hormonal contraceptives,True,2,21,4100,Auckland,New Zealand,True,True,True,18,55,18.5,30,60,90
2,Firefly,"healthy male and females (surgically sterile or postmenopausal) proportion of chinese, taiwanese, korean ethnicity as well as non-asian participants aged 18-55 years bmi 18-32 kg/m2 non-smoker",True,3,2,2400,Auckland,New Zealand,True,True,True,18,55,18,32,,
3,Pesto,healthy male and females aged 18-50 years bmi 18-32kg/m2 weight 52-100kg no medications,True,2,13,3500,Auckland,New Zealand,True,True,True,18,50,18,32,52,100
4,Dart,healthy male and females aged 18-65 years bmi 18.5-30kg/m2 weight >50kg males and >45kg females no medications,True,8,6,4800,Auckland,New Zealand,True,True,True,18,65,18.5,30,50,
5,Mufasa,healthy male and females (surgically sterile or postmenopausal) aged 18-50 years bmi 18.5-30.0kg/m2 no medications,True,10,19,7000,Auckland,New Zealand,True,True,True,18,50,18.5,30.0,,
6,Mermaid,healthy male and females aged 18-65 years bmi 18-34.9kg/m2 chinese or caucasian ethnicity no medications,True,3,6,2200,Auckland,New Zealand,True,True,True,18,65,18,34.9,,
7,Rack,healthy male and females aged 18-80 years. bmi 18.5-35.0 kg/m2,True,0,9,3200,Auckland,New Zealand,True,True,True,18,80,18.5,35.0,,
8,Bongo,healthy males and females aged 18-50 years weight ≥ 40kg bmi 18-32 kg/m2 no medications,True,11,18,9250,Auckland,New Zealand,True,True,True,18,50,18,32,40,
9,Estrella,diagnosed pizz alpha-1 antitrypsin deficiency males and females (surgically sterile or postmenopausal) aged 18-70 years.,True,0,11 or 17,2200,Auckland,New Zealand,False,True,True,18,70,,,,
10,Fiesta,healthy males and females (surgically sterile or post-menopausal) males aged 18-45 years bmi 18-32kg/m2 non-smoker no restricted medications,True,13,1,6000,Auckland,New Zealand,True,True,True,18,45,18,32,,
11,Rio,"healthy, non-smoking male and females aged 18-55 years bmi 18-32 kg/m2 weigh more than 50 kg no medications",True,6,1,3000,Auckland,New Zealand,True,True,True,18,55,18,32,50,
12,Hebe,males and females aged 18-55 weight 60-90kg and bmi 18.5-30 kg/m² healthy non-smoker/vaper or smoke no more than 10 cigarettes (or equivalent) per week no meds except oral contraceptives,True,4,2,4800 -  4100,Christchurch,New Zealand,True,True,True,18,55,18.5,30,60,90
13,Mufasa,healthy males and females (females must be surgically sterile or postmenopausal) aged 18-50 years weight 50-100kg and bmi 18.5-30kg/m² no medications,True,10,2,7000,Christchurch,New Zealand,True,True,True,18,50,18.5,30,50,100
14,Posie,postmenopausal females aged 40 years + bmi 18.5-34.0 kg/m² in good health,True,1,1,3200,Christchurch,New Zealand,True,False,True,40,,18.5,34.0,,
15,Buzz,healthy females aged 18-65 years weight 50-100 kg bmi 18-29.9 kg/m2 no medications,True,4,7,2850,Christchurch,New Zealand,True,False,True,18,65,18,29.9,50,100
16,Kea, males and females aged 18-65 in good health,True,10,4,5500,Christchurch,New Zealand,True,True,True,18,65,,,,
17,Rack,healthy male and females aged 18-80 years. bmi 18.5-35.0 kg/m2,True,0,9,3200,Christchurch,New Zealand,True,True,True,18,80,18.5,35.0,,
18,Heart," Biological Sex Healthy males or females
            Age 18-45 years old
            BMI 18-32kg/m²
            Medication Not taking any (contraceptives ok)
            Medical History Nothing significant
            Smoking History Social smokers okay (no more than 5 per week)
            Dietary Restrictions Must be able to consume one high fat breakfast containing bacon, eggs, hash browns and a full glass of plain full cream milk
             Status  Currently Recruiting Overnight stays 
            2 x 7 nights Outpatient visits 
            1 visits  View study details
              ",True,14,1,,Melbourne,Australia,True,True,True,18,45,18,32,,
19,Swell," Biological Sex Healthy males or females
            Age 18-65  years old
            BMI 18-35 kg/m²
            Medical History Nothing significant
            Smoking History Non-smokers (no smoking within the past 3 months)
             Status  Currently Recruiting Overnight stays 
            7 nights Outpatient visits 
            1 + 1 follow up call visits  View study details
              ",True,7,1 + 1 follow up call,,Melbourne,Australia,True,True,True,18,65,18,35,,
20,Cluster," Biological Sex Healthy males or females
            Age 18-55 years old
            BMI 20-34.9 kg/m²
            Medication Not taking any
            Medical History Nothing significant
            Smoking History Less than 2 per day
             Status  Currently Recruiting Overnight stays 
            3 nights Outpatient visits 
            4 visits  View study details
              ",True,3,4,,Melbourne,Australia,True,True,True,18,55,20,34.9,,
